music_names,urls
Loca,https://genius.com/Favorite-korea-loca-lyrics
Lonely Night,https://genius.com/Ha-sung-woon-lonely-night-lyrics
Lonely Night,https://genius.com/Knk-lonely-night-lyrics
Long Black,https://genius.com/Jus2-long-black-lyrics
Lookin' 4 Love,https://genius.com/Jbj95-lookin-4-love-lyrics
Lost Paradise (Hip-Hop Unit),https://genius.com/Pentagon-korea-lost-paradise-hip-hop-unit-lyrics
Love,https://genius.com/Cosmic-boy-love-lyrics
L.O.V.E,https://genius.com/Park-ji-hoon-love-lyrics
Love Game,https://genius.com/Lovelyz-love-game-lyrics
Love Is...,https://genius.com/Hong-jin-young-love-is-lyrics
Love Line,https://genius.com/Verivery-love-line-lyrics
Love Oh Love,https://genius.com/Gfriend-love-oh-love-lyrics
Love Rock,https://genius.com/Taehyun-hotshot-love-rock-lyrics
Love Talk,https://genius.com/Jus2-love-talk-lyrics
Love Tonight,https://genius.com/Hong-jin-young-love-tonight-lyrics
Love Wheel,https://genius.com/Astro-k-pop-love-wheel-lyrics
Love Words,https://genius.com/Chen-exo-love-words-lyrics
LTNS,https://genius.com/Olltii-ltns-lyrics
Lucky Charm,https://genius.com/Nichkhun-of-2pm-lucky-charm-lyrics
L.U.V,https://genius.com/Gfriend-luv-lyrics
Lying,https://genius.com/Khyo-lying-lyrics
Mad Dog Diary,https://genius.com/The-black-skirts-mad-dog-diary-lyrics
Magic Dream,https://genius.com/April-magic-dream-lyrics
Make It Right,https://genius.com/Bts-make-it-right-lyrics
Make Me So Crazy,https://genius.com/Kim-donghan-make-me-so-crazy-lyrics
Making Film,https://genius.com/Ph-1-making-film-lyrics
Malibu,https://genius.com/Ph-1-malibu-lyrics
Mars,https://genius.com/Nichkhun-of-2pm-mars-lyrics
Maybe It's Not Our Fault,https://genius.com/Baek-yerin-maybe-its-not-our-fault-lyrics
Maze of Memories,https://genius.com/Stray-kids-maze-of-memories-lyrics
Me,https://genius.com/Chanyeol-x-sehun-me-lyrics
Me (美),https://genius.com/Clc-me-lyrics
Melodrama,https://genius.com/Kim-jaehwan-melodrama-lyrics
Memoria (Korean Version),https://genius.com/Gfriend-memoria-korean-version-lyrics
Memories,https://genius.com/Apink-memories-lyrics
Memories,https://genius.com/Wjsn-memories-lyrics
Mermaid,https://genius.com/Bol4-mermaid-lyrics
Merry and the Witch's Flower,https://genius.com/Baek-yerin-merry-and-the-witchs-flower-lyrics
Merry-Go-Round,https://genius.com/Astro-k-pop-merry-go-round-lyrics
Me&You,https://genius.com/Exid-me-you-lyrics
Midnight,https://genius.com/Exid-midnight-lyrics
Mikrokosmos,https://genius.com/Bts-mikrokosmos-lyrics
Milky Way,https://genius.com/Jbj95-milky-way-lyrics
Miroh,https://genius.com/Stray-kids-miroh-lyrics
Mirror Mirror,https://genius.com/Giantpink-mirror-mirror-lyrics
Miss Ping Pong,https://genius.com/Gwsn-miss-ping-pong-lyrics
Mola,https://genius.com/Winner-mola-lyrics
